kategorie,deutsch,kroatisch,lautschrift-hr,englisch,lautschrift-en
Substantiv (400 Dinge),Himmel,nebo,[nebo],sky,[skaɪ]
Substantiv (400 Dinge),schlafen,spavati,[spaʋati],sleep,[slip]
Substantiv (400 Dinge),ausrutschen,skliznuti,[skliznuti],slip,[slɪp]
Substantiv (400 Dinge),Steigung,nagib,[naɡib],slope,[sloʊp]
Adjektiv (50 Gegensätze),langsam,sporo,[sporo],slow,[sloʊ]
Adjektiv (50 Gegensätze),klein,mala,[mala],small,[smɔl]
Substantiv (400 Dinge),zerschlagen,razbiti,[razbiti],smash,[smæʃ]
Substantiv (400 Dinge),Geruch,mirisati,[mirisati],smell,[smɛl]
Substantiv (400 Dinge),lächeln,osmijeh,[osmjeːx],smile,[smaɪl]
Substantiv (400 Dinge),Rauch,dimiti,[dimiti],smoke,[smoʊk]
Adjektiv (100 allg.),glatt,glatka,[ɡlatka],smooth,[smuð]
Substantiv (200 bildh.),Schlange,zmija,[zmija],snake,[sneɪk]
Substantiv (400 Dinge),niesen,kihati,[kixati],sneeze,[sniz]
Substantiv (400 Dinge),Schnee,snijeg,[snjeːɡ],snow,[snoʊ]
Partikel / Präposition,also,dakle,[dakle],so,[soʊ]
Substantiv (400 Dinge),Seife,sapun,[sapun],soap,[soʊp]
Substantiv (400 Dinge),Gesellschaft,društvu,[druʃtʋu],society,[soʊˈsaɪɪti]
Substantiv (200 bildh.),Socke,čarapa,[tʃarapa],sock,[sɑk]
Adjektiv (50 Gegensätze),weich,mekan,[mekan],soft,[sɔft]
Adjektiv (50 Gegensätze),solide,čvrsta,[tʃʋrsta],solid,[ˈsɑləd]
Partikel / Präposition,einige,neke,[neke],some,[səm]
Substantiv (400 Dinge),Sohn,sine,[sine],son,[sən]
Substantiv (400 Dinge),Lied,pjesma,[pjesma],song,[sɔŋ]
Substantiv (400 Dinge),sortieren,sortirati,[sortirati],sort,[sɔrt]
Substantiv (400 Dinge),Ton,zvuk,[zʋuk],sound,[saʊnd]
Substantiv (400 Dinge),Suppe,juha,[juxa],soup,[sup]
Partikel / Präposition,Süden,južno,[juʒno],south,[saʊθ]
Substantiv (400 Dinge),Raum,prostoru,[prostoru],space,[speɪs]
Substantiv (200 bildh.),Spaten,pik,[pik],spade,[speɪd]
Adjektiv (50 Gegensätze),besonders,poseban,[poseban],special,[ˈspɛʃəl]
Substantiv (200 bildh.),Schwamm,spužva,[spuʒʋa],sponge,[spəndʒ]
Substantiv (200 bildh.),Löffel,žlica,[ʒlitsa],spoon,[spun]
Substantiv (200 bildh.),Frühling,proljeće,[proʎetɕe],spring,[spərɪŋ]
Substantiv (200 bildh.),quadratisch,trg,[trɡ],square,[skwɛr]
Substantiv (400 Dinge),Bühne,pozornici,[pozornitsi],stage,[steɪdʒ]
Substantiv (200 bildh.),Stempel,markica,[markitsa],stamp,[stæmp]
Substantiv (200 bildh.),Stern,zvijezda,[zʋijeːzda],star,[stɑr]
Substantiv (400 Dinge),beginnen,započeti,[zapotʃeti],start,[stɑrt]
Substantiv (400 Dinge),Aussage,izjava,[izjaʋa],statement,[ˈsteɪtmənt]
Substantiv (200 bildh.),Bahnhof,stanica,[stanitsa],station,[ˈsteɪʃən]
Substantiv (400 Dinge),Dampf,pare,[pare],steam,[stim]
Substantiv (400 Dinge),Stahl,čelika,[tʃelika],steel,[stil]
Substantiv (200 bildh.),Stamm,stabljika,[stabʎika],stem,[stɛm]
Substantiv (400 Dinge),Schritt,korak,[korak],step,[stɛp]
Substantiv (200 bildh.),Stock,štap,[ʃtap],stick,[stɪk]
Adjektiv (100 allg.),klebrig,ljepljiva,[ʎepʎiʋa],sticky,[ˈstɪki]
Adjektiv (100 allg.),steif,ukočen,[ukotʃen],stiff,[stɪf]
Partikel / Präposition,immer noch,i dalje,[i daʎe],still,[stɪl]
Substantiv (400 Dinge),Stich,ubod,[ubod],stitch,[stɪtʃ]
Substantiv (200 bildh.),Strumpf,čarapa,[tʃarapa],stocking,[ˈstɑkɪŋ]
Substantiv (200 bildh.),Magen,želudac,[ʒeludats],stomach,[ˈstəmək]
Substantiv (400 Dinge),Stein,kamena,[kamena],stone,[stoʊn]
Substantiv (400 Dinge),hör auf,zaustaviti se,[zaustaʋiti se],stop,[stɑp]
Substantiv (200 bildh.),speichern,trgovina,[trɡoʋina],store,[stɔr]
Substantiv (400 Dinge),Geschichte,priča,[pritʃa],story,[ˈstɔri]
Adjektiv (100 allg.),gerade,ravno,[raʋno],straight,[streɪt]
Adjektiv (50 Gegensätze),seltsam,čudno,[tʃudno],strange,[streɪndʒ]
Substantiv (200 bildh.),Straße,ulica,[ulitsa],street,[strit]
Substantiv (400 Dinge),dehnen,protežu se,[proteʒu se],stretch,[strɛtʃ]
Adjektiv (100 allg.),stark,snažna,[snaʒna],strong,[strɔŋ]
Substantiv (400 Dinge),Struktur,struktura,[struktura],structure,[ˈstrəktʃər]
Substantiv (400 Dinge),Substanz,tvar,[tʋar],substance,[ˈsəbstəns]
Partikel / Präposition,so,takav,[takaʋ],such,[sətʃ]
Adjektiv (100 allg.),plötzlich,iznenadan,[iznenadan],sudden,[ˈsədən]
Substantiv (400 Dinge),Zucker,šećera,[ʃetɕera],sugar,[ˈʃʊɡər]
Substantiv (400 Dinge),Vorschlag,prijedlog,[prijeːdloɡ],suggestion,[səˈdʒɛstʃən]
Substantiv (400 Dinge),Sommer,ljeto,[ʎeto],summer,[ˈsəmər]
Substantiv (200 bildh.),Sonne,sunce,[suntse],sun,[sən]
Substantiv (400 Dinge),Unterstützung,podrška,[podrʃka],support,[səˈpɔrt]
Substantiv (400 Dinge),Überraschung,iznenađenje,[iznenadʑeɲe],surprise,[səˈpraɪz]
Adjektiv (100 allg.),süß,slatko,[slatko],sweet,[swit]
Substantiv (400 Dinge),schwimmen,plivati,[pliʋati],swim,[swɪm]
Substantiv (400 Dinge),System,sustav,[sustaʋ],system,[ˈsɪstəm]
Substantiv (200 bildh.),Tisch,stol,[stol],table,[ˈteɪbəl]
Substantiv (200 bildh.),Schwanz,rep,[rep],tail,[teɪl]
Verb,nehmen,uzeti,[uzeti],take,[teɪk]
Substantiv (400 Dinge),reden,pričati,[pritʃati],talk,[tɔk]
Adjektiv (100 allg.),groß,visoka,[ʋisoka],tall,[tɔl]
Substantiv (400 Dinge),Geschmack,okusiti,[okusiti],taste,[teɪst]
Substantiv (400 Dinge),Steuer,porez,[porez],tax,[tæks]
Substantiv (400 Dinge),Unterrichten,nastava,[nastaʋa],teaching,[ˈtitʃɪŋ]
Substantiv (400 Dinge),Tendenz,sklonost,[sklonost],tendency,[ˈtɛndənsi]
Substantiv (400 Dinge),testen,test,[test],test,[tɛst]
Partikel / Präposition,als,nego,[neɡo],than,[ðən]
Partikel / Präposition,das,taj,[taj],that,[ðət]
Partikel / Präposition,die,the,[txe],the,[ðə]
Partikel / Präposition,dann,zatim,[zatim],then,[ðɛn]
Substantiv (400 Dinge),Theorie,teorija,[teorija],theory,[ˈθɪri]
Partikel / Präposition,dort,tamo,[tamo],there,[ðɛr]
Adjektiv (100 allg.),dick,gusta,[ɡusta],thick,[θɪk]
Adjektiv (50 Gegensätze),dünn,tanak,[tanak],thin,[θɪn]
Substantiv (400 Dinge),Sache,stvar,[stʋar],thing,[θɪŋ]
Partikel / Präposition,dies,ovo,[oʋo],this,[ðɪs]
Partikel / Präposition,allerdings,ipak,[ipak],though,[ðoʊ]
Substantiv (400 Dinge),dachte,misao,[misao],thought,[θɔt]
Substantiv (200 bildh.),Thread,nit,[nit],thread,[θrɛd]
Substantiv (200 bildh.),Hals,grlo,[ɡrlo],throat,[θroʊt]
Partikel / Präposition,durch,kroz,[kroz],through,[θru]
Substantiv (200 bildh.),Daumen,palac,[palats],thumb,[θəm]
Substantiv (400 Dinge),Donner,grmljavina,[ɡrmʎaʋina],thunder,[ˈθəndər]
Substantiv (200 bildh.),Fahrkarte,ulaznica,[ulaznitsa],ticket,[ˈtɪkɪt]
Adjektiv (100 allg.),eng,tijesno,[tjeːsno],tight,[taɪt]
Partikel / Präposition,bis,do,[do],till,[tɪl]
Substantiv (400 Dinge),Zeit,vremena,[ʋremena],time,[taɪm]
Substantiv (400 Dinge),Zinn,kositra,[kositra],tin,[tɪn]
Adjektiv (100 allg.),müde,umoran,[umoran],tired,[taɪərd]
Partikel / Präposition,zu,do,[do],to,[tɪ]
Substantiv (200 bildh.),Zehe,nožni prst,[noʒni prst],toe,[toʊ]
Partikel / Präposition,zusammen,zajedno,[zajedno],together,[təˈɡɛðər]
Partikel / Präposition,morgen,sutra,[sutra],tomorrow,[təˈmɑˌroʊ]
Substantiv (200 bildh.),Zunge,jezikom,[jezikom],tongue,[təŋ]
Substantiv (200 bildh.),Zahn,zub,[zub],tooth,[tuθ]
Substantiv (400 Dinge),oben,vrh,[ʋrx],top,[tɔp]
Substantiv (400 Dinge),berühren,dodirnuti,[dodirnuti],touch,[tətʃ]
Substantiv (200 bildh.),Stadt,grad,[ɡrad],town,[taʊn]
Substantiv (400 Dinge),Handel,trgovina,[trɡoʋina],trade,[treɪd]
Substantiv (200 bildh.),Zug,vlakom,[ʋlakom],train,[treɪn]
Substantiv (400 Dinge),Transport,prijevoz,[prjeːʋoz],transport,[ˈtrænspɔrt]
Substantiv (200 bildh.),Tablett,poslužavnik,[posluʒaʋnik],tray,[treɪ]
Substantiv (200 bildh.),Baum,drvo,[drʋo],tree,[tri]
Substantiv (400 Dinge),Trick,trik,[trik],trick,[trɪk]
Substantiv (400 Dinge),Ärger,nevolja,[neʋoʎa],trouble,[ˈtrəbəl]
Substantiv (200 bildh.),Hosen,hlače,[xlatʃe],trousers,[ˈtraʊzərz]
Adjektiv (100 allg.),wahr,istina,[istina],true,[tru]
Substantiv (400 Dinge),drehen,okrenuti se,[okrenuti se],turn,[tərn]
Substantiv (400 Dinge),verdrehen,uvijanje,[uʋijaɲe],twist,[twɪst]
Substantiv (200 bildh.),Regenschirm,kišobran,[kiʃobran],umbrella,[ˈəmˌbrɛlə]
Partikel / Präposition,unter,pod,[pod],under,[ˈəndər]
Substantiv (400 Dinge),Einheit,jedinica,[jedinitsa],unit,[ˈjunɪt]
Partikel / Präposition,auf,gore,[ɡore],up,[əp]
Substantiv (400 Dinge),verwenden,korištenje,[koriʃteɲe],use,[juz]
Substantiv (400 Dinge),Wert,vrijednost,[ʋrjeːdnost],value,[ˈvælju]
Substantiv (400 Dinge),Vers,stih,[stix],verse,[vərs]
Partikel / Präposition,sehr,jako,[jako],very,[ˈvɛri]
Substantiv (400 Dinge),Schiff,plovilo,[ploʋilo],vessel,[ˈvɛsəl]
Substantiv (400 Dinge),Ansicht,pogled,[poɡled],view,[vju]
Adjektiv (100 allg.),gewalttätig,nasilan,[nasilan],violent,[ˈvaɪələnt]
Substantiv (400 Dinge),Stimme,glas,[ɡlas],voice,[vɔɪs]
Adjektiv (100 allg.),warten,čekajući,[tʃekajutɕi],waiting,[ˈweɪtɪŋ]
Substantiv (400 Dinge),gehen,hodati,[xodati],walk,[wɔk]
Substantiv (200 bildh.),Wand,zid,[zid],wall,[wɔl]
Substantiv (400 Dinge),Krieg,rata,[rata],war,[wɔr]
Adjektiv (100 allg.),warm,toplo,[toplo],warm,[wɔrm]
Substantiv (400 Dinge),waschen,oprati,[oprati],wash,[wɑʃ]
Substantiv (400 Dinge),Verschwendung,otpad,[otpad],waste,[weɪst]
Substantiv (200 bildh.),schau,gledati,[ɡledati],watch,[wɔtʃ]
Substantiv (400 Dinge),Wasser,vodu,[ʋodu],water,[ˈwɔtər]
Substantiv (400 Dinge),Welle,talasati,[talasati],wave,[weɪv]
Substantiv (400 Dinge),Wachs,vosak,[ʋosak],wax,[wæks]
Substantiv (400 Dinge),Weg,put,[put],way,[weɪ]
Substantiv (400 Dinge),Wetter,vrijeme,[ʋrjeːme],weather,[ˈwɛðər]
Substantiv (400 Dinge),Woche,tjedan,[tjedan],week,[wik]
Substantiv (400 Dinge),Gewicht,težina,[teʒina],weight,[weɪt]
Partikel / Präposition,Na ja,dobro,[dobro],well,[wɛl]
Partikel / Präposition,Westen,zapad,[zapad],west,[wɛst]
Adjektiv (100 allg.),nass,mokri,[mokri],wet,[wɛt]
Substantiv (200 bildh.),Rad,kotač,[kotatʃ],wheel,[wil]
Partikel / Präposition,wann,kada,[kada],when,[wɪn]
Partikel / Präposition,wo,gdje,[ɡdje],where,[wɛr]
Partikel / Präposition,während,dok je,[dok je],while,[waɪl]
Substantiv (200 bildh.),Peitsche,bičem,[bitʃem],whip,[wɪp]
Substantiv (200 bildh.),Pfeife,zviždati,[zʋiʒdati],whistle,[ˈwɪsəl]
Adjektiv (50 Gegensätze),weiß,bijela,[bjeːla],white,[waɪt]
Partikel / Präposition,wer,tko,[tko],who,[hu]
Partikel / Präposition,warum,zašto,[zaʃto],why,[waɪ]
Adjektiv (100 allg.),breit,široka,[ʃiroka],wide,[waɪd]
Verb,wird,volja,[ʋoʎa],will,[wɪl]
Substantiv (400 Dinge),Wind,vjetar,[ʋjetar],wind,[wɪnd]
Substantiv (200 bildh.),Fenster,prozor,[prozor],window,[ˈwɪndoʊ]
Substantiv (400 Dinge),Wein,vina,[ʋina],wine,[waɪn]
Substantiv (200 bildh.),Flügel,krilo,[krilo],wing,[wɪŋ]
Substantiv (400 Dinge),Winter,zima,[zima],winter,[ˈwɪntər]
Substantiv (200 bildh.),Draht,žica,[ʒitsa],wire,[waɪər]
Adjektiv (100 allg.),weise,mudar,[mudar],wise,[waɪz]
Partikel / Präposition,mit,sa,[sa],with,[wɪθ]
Substantiv (400 Dinge),Frau,žena,[ʒena],woman,[ˈwʊmən]
Substantiv (400 Dinge),Holz,drvo,[drʋo],wood,[wʊd]
Substantiv (400 Dinge),Wolle,vuna,[ʋuna],wool,[wʊl]
Substantiv (400 Dinge),Wort,riječ,[rjeːtʃ],word,[wərd]
Substantiv (400 Dinge),Arbeit,raditi,[raditi],work,[wərk]
Substantiv (200 bildh.),Wurm,crv,[tsrʋ],worm,[wərm]
Substantiv (400 Dinge),Wunde,rana,[rana],wound,[wund]
Substantiv (400 Dinge),Schreiben,pisanje,[pisaɲe],writing,[ˈraɪtɪŋ]
Adjektiv (50 Gegensätze),falsch,pogrešno,[poɡreʃno],wrong,[rɔŋ]
Substantiv (400 Dinge),Jahr,godine,[ɡodine],year,[jɪr]
Adjektiv (100 allg.),gelb,žuti,[ʒuti],yellow,[ˈjɛloʊ]
Partikel / Präposition,ja,da,[da],yes,[jɛs]
Partikel / Präposition,gestern,jučer,[jutʃer],yesterday,[ˈjɛstərˌdeɪ]
Partikel / Präposition,Du,tebe,[tebe],you,[ju]
Adjektiv (100 allg.),jung,mlada,[mlada],young,[jəŋ]
